127.0.0.1 - - [30/Jan/2023:21:51:10 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/Jan/2023:23:09:47 +0530] "GET /JSPPractice/loginPage.jsp HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [30/Jan/2023:23:10:10 +0530] "GET /JSPPractice/loginPage.jsp HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [30/Jan/2023:23:10:12 +0530] "GET /JSPPractice/loginPage.jsp HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [30/Jan/2023:23:10:13 +0530] "GET /JSPPractice/loginPage.jsp HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [30/Jan/2023:23:10:34 +0530] "GET /JSPPractice/loginPage.jsp HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [30/Jan/2023:23:10:43 +0530] "GET /JSPPractice/loginPage.jsp HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [30/Jan/2023:23:11:05 +0530] "GET /JSPPractice/RegistrationForm.jsp HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [30/Jan/2023:23:11:28 +0530] "POST /JSPPractice/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:23:11:28 +0530] "GET /JSPPractice/loginPage.jsp HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [30/Jan/2023:23:24:55 +0530] "GET /JSPPractice/RegistrationForm.jsp HTTP/1.1" 200 548
0:0:0:0:0:0:0:1 - - [30/Jan/2023:23:24:57 +0530] "GET /JSPPractice/loginPage.jsp HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [30/Jan/2023:23:25:08 +0530] "GET /JSPPractice/logincheck.jsp?email=rudrakshaverma2018%40gmail.com&pass=rudra123 HTTP/1.1" 500 3735
0:0:0:0:0:0:0:1 - - [30/Jan/2023:23:28:12 +0530] "GET /JSPPractice/loginPage.jsp HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [30/Jan/2023:23:28:22 +0530] "GET /JSPPractice/logincheck.jsp?email=rudrakshaverma2018%40gmail.com&pass=RUDRA123 HTTP/1.1" 500 3774
0:0:0:0:0:0:0:1 - - [30/Jan/2023:23:30:10 +0530] "GET /JSPPractice/logincheck.jsp?email=rudrakshaverma2018%40gmail.com&pass=RUDRA123 HTTP/1.1" 500 4095
0:0:0:0:0:0:0:1 - - [30/Jan/2023:23:30:43 +0530] "GET /JSPPractice/logincheck.jsp?email=rudrakshaverma2018%40gmail.com&pass=RUDRA123 HTTP/1.1" 500 3775
0:0:0:0:0:0:0:1 - - [30/Jan/2023:23:32:08 +0530] "GET /JSPPractice/logincheck.jsp?email=rudrakshaverma2018%40gmail.com&pass=RUDRA123 HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [30/Jan/2023:23:33:04 +0530] "GET /JSPPractice/logincheck.jsp?email=rudrakshaverma2018%40gmail.com&pass=RUDRA123 HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [30/Jan/2023:23:33:09 +0530] "GET /JSPPractice/loginPage.jsp HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [30/Jan/2023:23:33:20 +0530] "GET /JSPPractice/logincheck.jsp?email=hello%40gmail.com&pass=hi HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [30/Jan/2023:23:34:22 +0530] "GET /JSPPractice/loginPage.jsp HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [30/Jan/2023:23:34:30 +0530] "GET /JSPPractice/logincheck.jsp?email=rudrakshaverma2018%40gmail.com&pass=rudra123 HTTP/1.1" 500 3731
0:0:0:0:0:0:0:1 - - [30/Jan/2023:23:35:05 +0530] "GET /JSPPractice/logincheck.jsp?email=rudrakshaverma2018%40gmail.com&pass=rudra123 HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [30/Jan/2023:23:40:18 +0530] "GET /JSPPractice/logincheck.jsp?email=rudrakshaverma2018%40gmail.com&pass=rudra123 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:23:40:18 +0530] "GET /JSPPractice/home.jsp HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [30/Jan/2023:23:40:28 +0530] "GET /JSPPractice/logincheck.jsp?email=rudrakshaverma2018%40gmail.com&pass=haha HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [30/Jan/2023:23:40:44 +0530] "GET /JSPPractice/logincheck.jsp?email=rudrakshaverma2018%40gmail.com&pass=haha HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [30/Jan/2023:23:40:45 +0530] "GET /JSPPractice/logincheck.jsp?email=rudrakshaverma2018%40gmail.com&pass=haha HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [30/Jan/2023:23:41:25 +0530] "GET /JSPPractice/logincheck.jsp?email=rudrakshaverma2018%40gmail.com&pass=haha HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [30/Jan/2023:23:41:30 +0530] "GET /JSPPractice/logincheck.jsp?email=rudrakshaverma2018%40gmail.com&pass=haha HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [30/Jan/2023:23:41:44 +0530] "GET /JSPPractice/logincheck.jsp?email=pratyaksha%40gmail.com&pass=Pr%401yaksha HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:23:41:44 +0530] "GET /JSPPractice/home.jsp HTTP/1.1" 200 160
